id,unit_type,no_of_room,no_of_bed,no_of_bath,host_id,host_name,neighbourhood_group,neighbourhood,city,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,number_of_reviews_ltm,rating,license,is_new,calendar.count_demand,calendar.min_night,calendar.max_night
560808141922458912,Guest suite , 2 bedrooms , 2 beds , 1 bath,349804247,El,,Kitsilano,Vancouver ,49.258511,-123.169258,Entire home/apt,113,1,105,11/1/2023,5.03,43,56,4.77,License,N,256,1,1125
561420430548811362,Home , 2 bedrooms , 2 beds , 1 bath,444878825,Ashley,,Renfrew-Collingwood,Vancouver ,49.25136,-123.03416,Entire home/apt,103,2,63,11/4/2023,2.86,1,41,4.83,License,N,117,2,1125
561767409786915919,Condo , 2 bedrooms , 2 beds , 2 baths,425922828,Ben,,Downtown,Vancouver ,49.274914,-123.131027,Entire home/apt,380,30,3,8/20/2022,0.15,1,0,5,Unlicense,N,151,30,1125
562273398233310583,Condo , 1 bedroom , 2 beds , 1 bath,56870200,Jagdeep,,Downtown,Vancouver ,49.2772,-123.12613,Entire home/apt,127,1,102,11/27/2023,4.71,1,60,4.65,License,N,126,1,1125
562596359527085526,Condo , 1 bedroom , 2 beds , 1 bath,445131306,Elevennights,,Downtown,Vancouver ,49.27556,-123.11598,Entire home/apt,135,30,15,3/5/2023,0.68,1,2,5,License,N,204,30,150
563115181211622654,Loft , 1 bedroom , 1 bed , 1 bath,17743500,Aaron,,Downtown Eastside,Vancouver ,49.28353,-123.10468,Entire home/apt,260,2,137,12/4/2023,6.59,1,91,4.93,License,N,111,1.603603604,365
563248180261220836,Condo , 1 bedroom , 2 beds , 1 bath,445276644,Vick,,Downtown,Vancouver ,49.27582,-123.12673,Entire home/apt,140,4,36,11/29/2023,1.89,3,30,4.89,License,N,166,4,1125
563594163484468406,Serviced apartment , 1 bedroom , 1 bed , 1 bath,445341677,Konstantins,,Downtown,Vancouver ,49.28097,-123.11662,Entire home/apt,160,30,0,null,0,1,0,0,Unlicense,null,7,30,365
563672491412670947,Condo , 1 bedroom , 1 bed , 1 bath,87835742,Katie,,Downtown,Vancouver ,49.27671,-123.11476,Entire home/apt,0,30,6,11/26/2023,0.57,1,6,5,Unlicense,N,365,30,1125
563811005512806585,Condo , 1 bedroom , 1 bed , 1 bath,416004634,Ashley,,Downtown,Vancouver ,49.27595,-123.12827,Entire home/apt,123,2,63,11/15/2023,2.85,2,35,4.83,License,N,362,2,365
563837045230627489,Guest suite , Studio , 1 bed , 1 bath,10968137,Bruce,,Marpole,Vancouver ,49.21133,-123.12235,Entire home/apt,70,30,8,9/26/2023,0.4,2,4,5,Unlicense,N,226,30,180
564089062376990775,Condo , 1 bedroom , 1 bed , 1 private bath,430377596,Merve,,Downtown,Vancouver ,49.2761,-123.12638,Private room,125,1,147,12/8/2023,6.85,1,78,4.93,License,N,338,1,1125
564880673945279487,Villa , 7 bedrooms , 7 beds , 3 baths,271886523,Bocheng,,Victoria-Fraserview,Vancouver ,49.21694,-123.06275,Entire home/apt,337,3,19,10/24/2023,0.9,1,13,4.21,License,N,25,3,1125
565268651352901459,Home , 3 bedrooms , 3 beds , 3 baths,172335665,Neeta,,Hastings-Sunrise,Vancouver ,49.26192,-123.03705,Entire home/apt,227,3,23,10/20/2023,1.11,2,12,4.83,License,N,77,3,1125
566735552038171956,Home , 1 bedroom , 1 bed , 1 shared bath,267418831,Robert,,Killarney,Vancouver ,49.21944,-123.04112,Private room,59,30,5,7/31/2023,0.24,4,2,5,License,N,19,30,1125
567362169637674569,Home , 4 bedrooms , 4 beds , 3 baths,5944045,Kate,,Kensington-Cedar Cottage,Vancouver ,49.25172518,-123.0725242,Entire home/apt,400,3,1,7/4/2023,0.18,1,1,0,License,null,352,3,365
568418120198514314,Condo , 3 bedrooms , 4 beds , 2 baths,72282586,Michael,,Marpole,Vancouver ,49.21696,-123.1139,Entire home/apt,280,30,3,10/1/2022,0.17,1,0,4.33,Unlicense,N,1,30,1125
568808881399597264,Home , 1 bedroom , 1 bed , 1 private bath,9977019,Karin,,Kitsilano,Vancouver ,49.2669,-123.17785,Private room,92,5,49,10/26/2023,2.36,1,23,4.94,License,N,99,5,180
569162770621083690,Guest suite , 1 bedroom , 1 bed , 1 bath,10023514,Jen,,Kensington-Cedar Cottage,Vancouver ,49.24384,-123.08696,Entire home/apt,155,30,19,11/24/2023,1.06,1,8,5,License,N,11,30,1125
569187847103076470,Condo , 1 bedroom , 2 beds , 1 bath,8597414,Lindsay,,Mount Pleasant,Vancouver ,49.26928,-123.10216,Entire home/apt,145,2,55,11/27/2023,2.69,1,25,4.91,License,N,359,6.849582173,365
570291023195322066,Home , 1 bedroom , 1 bed , 1 private bath,446824715,Leanne,,Kitsilano,Vancouver ,49.26746,-123.1728,Private room,0,2,36,9/21/2023,1.82,1,19,4.94,License,N,365,2,4
570297645185348471,Guest suite , 1 bedroom , 1 bed , 1 bath,8905965,Andrea,,Hastings-Sunrise,Vancouver ,49.28265,-123.02794,Entire home/apt,100,1,84,10/22/2023,3.92,1,47,4.93,License,N,274,1,1125
571794764777794595,Guest suite , Studio , 1 bed , 1 bath,86974154,Leanne,,Renfrew-Collingwood,Vancouver ,49.24102,-123.04993,Entire home/apt,0,2,35,9/25/2023,2.15,1,28,4.97,License,N,365,2,29
571827776156478503,Condo , 1 bedroom , 1 bed , 1 bath,227662329,Jordan,,Downtown,Vancouver ,49.27792,-123.12654,Entire home/apt,78,1,64,10/9/2023,3.16,134,27,4.53,License,N,29,1.793103448,1125
54343284,Serviced apartment , 2 bedrooms , 3 beds , 1 bath,2502595,Level Hotels And Furnished Suites,,Downtown,Vancouver ,49.27680588,-123.1292496,Entire home/apt,385,30,2,8/7/2023,0.28,41,2,0,Exempt,null,0,0,0
572359625603226701,Condo , 1 bedroom , 2 beds , 1.5 baths,134720363,J,,Strathcona,Vancouver ,49.26964,-123.10062,Entire home/apt,117,2,40,11/28/2023,2.45,1,25,4.9,License,N,153,2,1125
572526966738574217,Condo , 2 bedrooms , 2 beds , 1 bath,49581098,Spencer & Ashley,,Mount Pleasant,Vancouver ,49.26817,-123.10207,Entire home/apt,157,1,86,11/29/2023,4.06,3,46,4.78,License,N,292,1.390410959,28
572541104622819341,Condo , 2 bedrooms , 2 beds , 2 baths,11225508,Shaghayegh,,Downtown,Vancouver ,49.27377,-123.11451,Entire home/apt,150,30,9,9/23/2023,0.53,2,6,5,Unlicense,N,347,30,1125
54365821,Serviced apartment , 2 bedrooms , 3 beds , 1 bath,2502595,Level Hotels And Furnished Suites,,Downtown,Vancouver ,49.27680588,-123.1292496,Entire home/apt,385,30,0,null,0,41,0,0,Exempt,null,0,0,0
572609209433746227,Rental unit , 1 bedroom , 1 bed , 1 bath,7704707,Charles,,Kitsilano,Vancouver ,49.2702,-123.16161,Entire home/apt,70,30,8,8/18/2023,0.43,3,5,4.63,Unlicense,N,288,30,1125
572726524344983768,Condo , 1 bedroom , 1 bed , 1 bath,267418831,Robert,,Downtown,Vancouver ,49.279781,-123.106384,Entire home/apt,125,30,7,11/17/2023,0.38,4,4,4.57,Unlicense,N,306,30,1112.647059
573204480902325004,Home , 4 bedrooms , 4 beds , 4.5 baths,94151560,Thien,,Kensington-Cedar Cottage,Vancouver ,49.23631,-123.07196,Entire home/apt,322,2,76,11/25/2023,3.92,1,34,4.71,License,N,362,2.256906077,1125
573217195003184747,Condo , 2 bedrooms , 2 beds , 2.5 baths,124848178,Lyndsey,,West End,Vancouver ,49.28496,-123.12473,Entire home/apt,354,60,0,null,0,1,0,0,Unlicense,null,2,60,365
573236213853060492,Home , 2 bedrooms , 2 beds , 1 bath,299292046,Jeff,,Kensington-Cedar Cottage,Vancouver ,49.255,-123.07054,Entire home/apt,154,3,84,12/5/2023,3.91,1,47,4.94,License,N,19,3,1125
573330912931029091,Condo , 1 bedroom , 2 beds , 1 bath,447462805,Helia,,Downtown,Vancouver ,49.28843,-123.12406,Entire home/apt,156,1,94,10/19/2023,4.39,1,53,4.95,License,N,318,1,29
54391818,Rental unit , 1 bedroom , 1 bed , 1 bath,265249066,Eva,,West End,Vancouver ,49.29246,-123.13475,Entire home/apt,140,30,6,7/7/2023,0.27,12,3,4.83,Unlicense,N,0,0,0
574531787170117608,Home , 1 bedroom , 1 bed , 1.5 shared baths,45872949,Shannon,,Grandview-Woodland,Vancouver ,49.27659,-123.06246,Private room,111,30,19,11/30/2023,2.43,3,19,5,License,N,140,24.40714286,963.9285714
574541994233882935,Condo , 1 bedroom , 1 bed , 1 bath,22999501,Ryan,,Mount Pleasant,Vancouver ,49.26604,-123.10004,Entire home/apt,136,30,9,8/27/2023,0.46,2,4,5,Unlicense,N,315,30,1125
574571550054322020,Condo , 1 bedroom , 2 beds , 1 bath,409375465,Angela,,Downtown Eastside,Vancouver ,49.2803,-123.08313,Entire home/apt,160,2,67,11/19/2023,3.38,1,33,4.76,License,N,204,2,1125
574795430216987558,Rental unit , 1 bedroom , 1 bed , 1 bath,213422034,Cong,,Downtown,Vancouver ,49.275288,-123.115334,Entire home/apt,128,20,39,9/24/2023,1.91,5,15,4.82,License,N,99,9.090909091,365
575441480842553082,Condo , 1 bedroom , 2 beds , 1 bath,227662329,Jordan,,Downtown,Vancouver ,49.27729,-123.12597,Entire home/apt,65,1,49,12/7/2023,2.28,134,25,4.61,License,N,32,1.75,1125
575500580463866352,Guest suite , 1 bedroom , 1 bed , 1 bath,447958676,Michelle,,Victoria-Fraserview,Vancouver ,49.22839,-123.06437,Entire home/apt,99,30,4,9/2/2023,0.2,2,1,5,Unlicense,N,2,30,365
575544573517713892,Condo , 1 bedroom , 1 bed , 1 bath,11207116,Moe,,Downtown,Vancouver ,49.27928,-123.1249,Entire home/apt,102,30,4,11/30/2022,0.21,6,0,4,Unlicense,N,199,30,365
575552289903756274,Townhouse , 2 bedrooms , 2 beds , 1.5 baths,90694647,Chengling,,Dunbar Southlands,Vancouver ,49.23548,-123.18947,Entire home/apt,141,1,158,12/6/2023,7.34,2,79,4.84,License,N,152,1,1125
575615010351390473,Guest suite , 2 bedrooms , 2 beds , 1 bath,447958676,Michelle,,Victoria-Fraserview,Vancouver ,49.22852,-123.06424,Entire home/apt,136,30,1,6/30/2023,0.18,2,1,0,Unlicense,null,1,30,365
575852005143129019,Rental unit , Studio , 1 bed , 1 bath,7336162,Tessa May,,West End,Vancouver ,49.29023,-123.14119,Entire home/apt,102,30,4,10/1/2023,0.2,1,2,4.5,Unlicense,N,334,30,1125
576324169204815575,Loft , 1 bedroom , 1 bed , 1 bath,50917789,Kam Kong,,Downtown,Vancouver ,49.2784,-123.12258,Entire home/apt,125,30,108,10/9/2023,5.29,1,55,4.81,License,N,276,30,1125
577819138934727220,Serviced apartment , 2 bedrooms , 2 beds , 1 bath,81536408,Michelle,,Downtown,Vancouver ,49.27936,-123.11803,Entire home/apt,220,30,3,10/12/2022,0.16,1,0,4.5,Unlicense,N,186,30,1125
578217036933479442,Rental unit , 2 bedrooms , 2 beds , 2 baths,448611545,Lu Yao,,Downtown,Vancouver ,49.279282,-123.106544,Entire home/apt,145,2,99,12/3/2023,4.68,1,52,4.68,License,N,291,2.749140893,1125
578234710130263021,Condo , 1 bedroom , 1 bed , 1 bath,600607,Martello,,Downtown,Vancouver ,49.27757,-123.12637,Entire home/apt,94,30,0,null,0,33,0,0,Unlicense,null,333,30,90
578243553292776571,Condo , 1 bedroom , 1 bed , 1 bath,31261633,Hui,,Downtown,Vancouver ,49.27976321,-123.1076824,Entire home/apt,122,1,28,12/11/2023,8.4,1,28,4.89,License,N,239,1.146443515,1125
578285252934806382,Rental unit , 1 bedroom , 1 bed , 1 bath,503127636,Brie,,Downtown,Vancouver ,49.28040525,-123.1260587,Entire home/apt,99,30,5,6/20/2023,0.28,10,3,5,Unlicense,N,214,30,1125
578340355352983331,Condo , 1 bedroom , 1 bed , 1 bath,448646393,Ainsley,,Riley Park,Vancouver ,49.24939,-123.102509,Entire home/apt,125,1,70,10/26/2023,3.31,1,32,4.81,License,N,166,1.289156627,1125
579008258736804776,Condo , 1 bedroom , 1 bed , 1 bath,424477266,Wei,,Downtown,Vancouver ,49.27538,-123.11415,Entire home/apt,128,15,19,10/6/2023,0.96,1,2,4.89,License,N,105,16.57142857,365
579361892875107137,Condo , 2 bedrooms , 2 beds , 1 bath,346562402,Zodiac,,Mount Pleasant,Vancouver ,49.26759423,-123.1124868,Entire home/apt,129,30,1,8/28/2023,0.28,6,1,0,License,null,359,29.37604457,365
579895395200595933,Condo , 2 bedrooms , 2 beds , 1 bath,23876854,Joseph,,Downtown,Vancouver ,49.27502,-123.12242,Entire home/apt,255,30,10,10/30/2023,0.53,1,6,5,Unlicense,N,189,30,400
580534853710324061,Condo , Studio , 1 bed , 1 bath,600607,Martello,,Downtown Eastside,Vancouver ,49.2772,-123.10035,Entire home/apt,70,30,3,5/21/2023,0.15,33,2,3.67,Unlicense,N,345,30,90
580555318102483549,Condo , 3 bedrooms , 3 beds , 2 baths,404697498,Paul,,Downtown,Vancouver ,49.27935,-123.10834,Entire home/apt,366,30,24,10/10/2023,1.17,1,4,4.92,License,N,146,30,1125
580700510757402838,Condo , 2 bedrooms , 2 beds , 1 bath,358216236,Mike,,Downtown,Vancouver ,49.27507,-123.12774,Entire home/apt,165,5,29,11/25/2023,1.43,1,21,4.83,License,N,203,27.87192118,365
581913215389516560,Home , 3 bedrooms , 4 beds , 2 baths,449417169,Amar,,Renfrew-Collingwood,Vancouver ,49.2473,-123.02912,Entire home/apt,207,2,23,11/26/2023,1.46,1,21,4.57,License,N,102,2.12745098,1125
582833790411644565,Guest suite , 2 bedrooms , 2 beds , 1 bath,38103481,Jacqueline,,Hastings-Sunrise,Vancouver ,49.26268,-123.04685,Entire home/apt,94,1,138,12/10/2023,6.59,2,82,4.71,License,N,45,1,1125
582878768498753325,Condo , 1 bedroom , 1 bed , 1 bath,449637217,Ric,,Downtown,Vancouver ,49.281239,-123.12545,Entire home/apt,0,2,74,10/4/2023,3.77,1,34,4.89,License,N,365,2,1125
583441829362699064,Home , 1 bedroom , 1 bed , 1 private bath,106698670,Jennifer,,Kensington-Cedar Cottage,Vancouver ,49.25343,-123.0633,Private room,80,7,6,9/13/2023,0.32,1,4,5,License,N,287,7,1125
583612717303453099,Condo , 1 bedroom , 1 bed , 1 bath,334375398,Chris,,Downtown,Vancouver ,49.27706104,-123.1292972,Entire home/apt,120,2,78,11/28/2023,3.8,1,47,4.9,License,N,217,25.87096774,365
583681190860048504,Condo , 4 bedrooms , 6 beds , 2 baths,449805226,Chenchen,,Downtown,Vancouver ,49.27951,-123.10801,Entire home/apt,378,2,113,11/24/2023,5.85,1,77,4.88,License,N,120,1.458333333,1125
584211208751510499,Condo , 2 bedrooms , 3 beds , 1 bath,447094701,Emma,,Mount Pleasant,Vancouver ,49.26993,-123.10188,Entire home/apt,144,5,44,11/22/2023,2.25,11,28,4.91,License,N,57,3.736842105,1125
584308798385392175,Condo , 1 bedroom , 2 beds , 1 bath,225163010,Vivi,,Downtown,Vancouver ,49.28935,-123.12272,Entire home/apt,185,3,38,11/26/2023,1.88,6,23,4.84,License,N,195,4.174358974,1125
585568481664319320,Townhouse , 3 bedrooms , 6 beds , 2.5 baths,450204775,Matt,,Killarney,Vancouver ,49.2064,-123.04788,Entire home/apt,297,5,6,11/13/2022,0.35,1,0,5,License,N,332,5,1125
585747588926620776,Condo , 2 bedrooms , 2 beds , 2 baths,375883759,Jerome,,Downtown,Vancouver ,49.27964,-123.108856,Entire home/apt,464,2,29,9/4/2023,1.56,1,14,4.93,License,N,96,2,1125
585782776000350130,Condo , 2 bedrooms , 2 beds , 1.5 baths,305306386,Kelly,,Mount Pleasant,Vancouver ,49.26814,-123.10219,Entire home/apt,125,2,122,11/26/2023,6.01,2,64,4.93,License,N,179,2,1125
586313115486065213,Condo , 1 bedroom , 1 bed , 1 bath,447959030,Eric,,Downtown,Vancouver ,49.28287,-123.11562,Entire home/apt,0,15,0,null,0,1,0,0,Exempt,null,365,15,28
586527360182677089,Condo , 2 bedrooms , 2 beds , 1.5 baths,144334674,Julia,,West End,Vancouver ,49.2882,-123.13397,Entire home/apt,229,90,28,10/1/2023,1.34,1,4,4.79,License,N,196,88.24489796,365
587071375941594371,Guest suite , 1 bedroom , 1 bed , 1 bath,259497904,Simon,,Renfrew-Collingwood,Vancouver ,49.2421488,-123.0421307,Entire home/apt,97,1,83,11/13/2023,4.13,2,52,4.95,License,N,32,1.28125,28
587221675720305110,Condo , 1 bedroom , 2 beds , 1 bath,15108917,Kuz,,Downtown,Vancouver ,49.2793,-123.10795,Entire home/apt,189,14,74,11/23/2023,3.79,1,45,4.84,License,N,234,12.86752137,730
587787888872965176,Condo , 1 bedroom , 2 beds , 1 bath,54428842,David,,Downtown Eastside,Vancouver ,49.27754,-123.10042,Entire home/apt,155,2,50,9/14/2023,2.69,1,22,4.74,License,N,93,1.989247312,1125
588073002881427772,Loft , 2 bedrooms , 2 beds , 2.5 baths,2395280,Ernesto,,Downtown Eastside,Vancouver ,49.28378,-123.10693,Entire home/apt,280,30,1,2/26/2023,0.1,1,1,0,Unlicense,null,180,30,365
588519747336055516,Condo ,null, 2 bedrooms , 1 bath,43966535,Adam,,Downtown,Vancouver ,49.28038,-123.12542,Entire home/apt,245,2,41,9/30/2023,2.07,2,25,4.98,License,N,360,2,365
588547571730017567,Loft , 1 bedroom , 1 bed , 1 bath,81547881,Natalie,,Downtown Eastside,Vancouver ,49.28352432,-123.1043217,Entire home/apt,95,30,8,11/13/2023,0.55,1,7,4.88,Unlicense,N,243,30,365
589081132555758015,Condo , 1 bedroom , 1 bed , 1 bath,17934012,Heali,,Downtown,Vancouver ,49.28884,-123.12675,Entire home/apt,150,90,7,12/3/2023,0.48,1,5,5,Unlicense,N,221,90,365
589095658929102856,Guest suite , 1 bedroom , 1 bed , 1 bath,4588697,Margo,,Hastings-Sunrise,Vancouver ,49.280476,-123.026375,Entire home/apt,165,2,39,10/11/2023,2.02,1,20,4.92,License,N,104,1.923076923,21
589258548885692438,Condo , 2 bedrooms , 2 beds , 1 bath,227662329,Jordan,,Downtown,Vancouver ,49.27794,-123.12761,Entire home/apt,250,2,66,11/12/2023,3.38,134,37,4.78,License,N,64,1.59375,1125
589780230502938980,Condo , 1 bedroom , 1 bed , 1 bath,451090862,Hanna,,Downtown,Vancouver ,49.27866,-123.10792,Entire home/apt,149,3,89,12/11/2023,4.35,1,47,4.88,License,N,354,2.994350282,1125
589891753220103775,Rental unit , 1 bedroom , 1 bed , 1 bath,95217850,Mauricio,,Kitsilano,Vancouver ,49.26268,-123.1527,Entire home/apt,120,30,0,null,0,42,0,0,Unlicense,null,71,30,365
589943890853533309,Condo , 1 bedroom , 1 bed , 1 bath,227662329,Jordan,,Downtown,Vancouver ,49.278,-123.12599,Entire home/apt,133,1,63,12/3/2023,3.11,134,30,4.7,License,N,25,1.6,1125
591184227874299694,Home , 1 bedroom , 1 bed , 1.5 baths,60023056,Clay,,Kitsilano,Vancouver ,49.26782,-123.1734,Entire home/apt,375,3,14,9/10/2023,0.7,1,7,4.86,License,N,50,3,365
591202087897623948,Condo , 5 bedrooms , 4 beds , 2 baths,74806205,Adam,,West End,Vancouver ,49.28588,-123.12715,Entire home/apt,289,18,0,null,0,30,0,0,License,null,276,18,385
591253181072006920,Guest suite , 1 bedroom , 1 bed , 1 bath,38103481,Jacqueline,,Hastings-Sunrise,Vancouver ,49.26416,-123.04863,Entire home/apt,66,1,132,12/8/2023,6.4,2,87,4.77,License,N,28,1,365
591501265133490901,Home , 1 bedroom , 1 bed , 1 shared bath,450969772,Kate,,Dunbar Southlands,Vancouver ,49.23381,-123.19242,Private room,69,30,1,8/31/2022,0.06,8,0,0,Unlicense,null,140,30,365
591513009241652117,Home , 1 bedroom , 1 bed , 1 shared bath,450969772,Kate,,Dunbar Southlands,Vancouver ,49.23349,-123.19252,Private room,89,30,4,7/1/2023,0.23,8,2,5,Unlicense,N,140,30,365
591712598908658805,Home , 2 bedrooms , 3 beds , 1 bath,417573492,Amir,,Hastings-Sunrise,Vancouver ,49.26591,-123.03978,Entire home/apt,149,2,78,10/28/2023,4,3,50,4.73,License,N,276,2,28
592142675011832063,Home , 2 bedrooms , 2 beds , 1 bath,149603848,Stephen,,Grandview-Woodland,Vancouver ,49.269424,-123.071915,Entire home/apt,0,3,15,7/5/2023,0.74,1,2,4.87,License,N,365,3,1125
592193406756906169,Townhouse , 3 bedrooms , 4 beds , 2.5 baths,173305964,Vanessa,,Mount Pleasant,Vancouver ,49.26092,-123.08867,Entire home/apt,278,2,49,11/27/2023,2.53,2,28,4.9,License,N,23,2,1125
592224306511044590,Condo , 1 bedroom , 1 bed , 1 bath,451572744,Quennie,,Downtown,Vancouver ,49.27871,-123.10794,Entire home/apt,149,2,100,11/22/2023,5.03,1,55,4.87,License,N,194,2,1125
592719174009370781,Guest suite , 1 bedroom , 2 beds , 1 bath,186926761,Nancy & Zubin,,Kensington-Cedar Cottage,Vancouver ,49.23394,-123.06891,Entire home/apt,70,30,2,8/4/2023,0.13,4,1,0,Unlicense,null,232,30,365
593757447212336154,Condo , 1 bedroom , 2 beds , 1 bath,19876081,Emily,,Downtown,Vancouver ,49.27529,-123.12668,Entire home/apt,153,2,113,12/4/2023,6.09,2,69,4.89,License,N,309,2,30
594307476176384716,Home , 1 bedroom , 1 bed , 1 private bath,438520628,Normandy,,Kitsilano,Vancouver ,49.25846,-123.15491,Private room,116,3,59,11/18/2023,2.88,1,35,4.81,License,N,232,2.956896552,1125
594366866537579117,Home , 3 bedrooms , 3 beds , 2 baths,60486181,Judith,,Downtown Eastside,Vancouver ,49.28137,-123.08411,Entire home/apt,128,30,25,8/31/2023,1.33,1,2,4.76,License,N,186,30,1125
567446694511645765,Condo , 1 bedroom , 1 bed , 1 bath,199285653,Debbie,,Victoria-Fraserview,Vancouver ,49.2071,-123.06412,Entire home/apt,118,30,1,1/15/2023,0.09,1,1,0,Unlicense,null,0,0,0
594560281009631016,Condo , 3 bedrooms , 3 beds , 2 baths,348092857,Parmissa,,Downtown,Vancouver ,49.27838,-123.10661,Entire home/apt,400,2,62,11/26/2023,3.26,5,34,4.81,License,N,54,2,365
594865741734856596,Guesthouse , 1 bedroom , 2 beds , 1.5 baths,31687730,Justin,,Riley Park,Vancouver ,49.253437,-123.101845,Entire home/apt,146,29,39,10/21/2023,2,1,21,5,License,N,118,29,1125
595005982768643282,Loft , 1 bedroom , 3 beds , 1 bath,40823079,Vivian,,Downtown,Vancouver ,49.28014,-123.12108,Entire home/apt,175,2,87,11/23/2023,4.31,2,40,4.75,License,N,286,2,1125
595106650021760076,Vacation home , 1 bedroom , 1 bed , 1 bath,452177088,Ashraf,,Downtown,Vancouver ,49.27841,-123.10618,Entire home/apt,256,1,18,10/22/2023,0.89,1,8,4.89,License,N,10,1,1125
595142761234603729,Home , 1 bedroom , 1 bed , 1 shared bath,450969772,Kate,,Dunbar Southlands,Vancouver ,49.23562,-123.19262,Private room,89,30,3,7/21/2023,0.19,8,1,4,Unlicense,N,140,30,365
595609500674965648,Condo , 1 bedroom , 1 bed , 1 bath,72400275,Sahar,,Downtown,Vancouver ,49.279587,-123.119118,Entire home/apt,175,30,0,null,0,1,0,0,Unlicense,null,335,30,1125
595807969725500931,Rental unit , 1 bedroom , 3 beds , 1.5 baths,452310843,Michael,,Kensington-Cedar Cottage,Vancouver ,49.24147,-123.08936,Entire home/apt,88,2,46,11/11/2023,2.28,1,19,4.65,License,N,66,2.242424242,1125
596964280164101368,Condo , 1 bedroom , 2 beds , 1 bath,84959468,Veronica,,West End,Vancouver ,49.28226,-123.12513,Entire home/apt,165,30,8,9/19/2023,0.49,1,4,5,Unlicense,N,229,30,365
597326193763505865,Home , 2 bedrooms , 2 beds , 1 bath,456869927,Zhiping,,South Cambie,Vancouver ,49.25659,-123.1194,Entire home/apt,113,2,72,11/27/2023,3.61,1,37,4.63,License,N,306,3.830065359,1125
597339362256290035,Home , 1 bedroom , 2 beds , 1 shared bath,450969772,Kate,,Dunbar Southlands,Vancouver ,49.23486,-123.19451,Private room,69,30,5,3/1/2023,0.27,8,1,5,Unlicense,N,140,30,365
597400742715108501,Home , 2 bedrooms , 2 beds , 1 bath,254454256,Monica,,Kensington-Cedar Cottage,Vancouver ,49.24549,-123.05949,Entire home/apt,132,1,44,11/25/2023,2.38,2,20,4.77,License,N,223,1,10
597410502801768294,Home , 4 bedrooms , 5 beds , 3 baths,78745911,Josh,,Riley Park,Vancouver ,49.25469,-123.11014,Entire home/apt,704,2,32,11/26/2023,1.86,2,24,4.97,License,N,122,1.975409836,1125
597765578414885881,Guest suite , 1 bedroom , 1 bed , 1 bath,653400,Christy,,Kensington-Cedar Cottage,Vancouver ,49.25313,-123.08254,Entire home/apt,0,2,37,11/6/2023,2.07,1,27,4.81,License,N,365,2,31
597865604058302294,Home , 2 bedrooms , 2 beds , 1.5 baths,35297943,Spencer,,South Cambie,Vancouver ,49.25114,-123.11539,Entire home/apt,149,2,17,9/25/2023,0.92,2,8,4.94,License,N,343,2,365
597874043150139129,Rental unit , 1 bedroom , 1 bed , 1 bath,26881556,Mark,,Kitsilano,Vancouver ,49.27329,-123.1594,Entire home/apt,173,30,5,10/23/2023,0.33,2,3,5,Unlicense,N,125,30,1125
598111946566621620,Loft , Studio , 2 beds , 1 bath,351741459,Mark,,Downtown,Vancouver ,49.27811,-123.12212,Entire home/apt,125,2,54,9/24/2023,2.64,2,18,4.65,License,N,294,2,1125
598527972021044449,Condo , 1 bedroom , 1 bed , 1 bath,284805984,Ken,,Mount Pleasant,Vancouver ,49.26867,-123.11007,Entire home/apt,147,2,83,11/25/2023,5.14,1,60,4.98,License,N,285,2,1125
598921169429413796,Condo , 3 bedrooms , 4 beds , 2 baths,148868431,Lillian,,Downtown,Vancouver ,49.28038,-123.10859,Entire home/apt,237,3,112,11/28/2023,5.48,2,67,4.93,License,N,310,2.993548387,365
599252074324243772,Condo , 1 bedroom , 1 bed , 1.5 shared baths,6138671,Andrew,,Downtown,Vancouver ,49.27873,-123.10688,Private room,130,2,38,12/11/2023,1.89,2,27,4.92,License,N,264,1.988636364,1125
599470811120745880,Loft , 1 bedroom , 2 beds , 1 bath,141353833,Milos,,Downtown Eastside,Vancouver ,49.28002,-123.10582,Entire home/apt,124,3,72,11/27/2023,3.56,1,30,4.68,License,N,320,3,60
599476700045132617,Condo , 1 bedroom , 1 bed , 1 bath,419858758,Konstantin,,Mount Pleasant,Vancouver ,49.26687,-123.09979,Entire home/apt,116,2,70,11/20/2023,3.66,1,31,4.77,License,N,255,2,1125
600328992695728484,Condo , 2 bedrooms , 4 beds , 1 bath,351741459,Mark,,Downtown,Vancouver ,49.27634,-123.12594,Entire home/apt,175,2,58,8/20/2023,2.87,2,26,4.66,License,N,319,2,29
600748206626760906,Home , 1 bedroom , 1 bed , 1 private bath,453369881,Michael,,Hastings-Sunrise,Vancouver ,49.27515,-123.05531,Private room,120,1,62,10/1/2023,3.33,1,24,4.63,License,N,173,1,365
600820463747266049,Condo , 1 bedroom , 1 bed , 1.5 baths,49517863,Zoe,,Downtown Eastside,Vancouver ,49.28187,-123.09115,Entire home/apt,215,2,17,10/9/2023,0.99,1,11,4.76,License,N,359,2,30
600904585727251645,Condo , 3 bedrooms , 3 beds , 2 baths,389024321,Cindy,,Downtown,Vancouver ,49.27787905,-123.107921,Entire home/apt,274,1,11,8/6/2022,0.54,3,0,4.73,License,N,25,1.4,1000
600922000654291512,Condo , 1 bedroom , 1 bed , 1 bath,14989962,Owais,,Downtown,Vancouver ,49.27538,-123.12665,Entire home/apt,300,30,81,11/11/2023,4.23,2,10,4.88,License,N,172,30,1125
