id,unit_type,no_of_room,no_of_bed,no_of_bath,host_id,host_name,neighbourhood_group,neighbourhood,city,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,number_of_reviews_ltm,rating,license,is_new,calendar.count_demand,calendar.min_night,calendar.max_night
860078034305335575,Rental unit , 2 bedrooms , 2 beds , 2 baths,147389905,Rick,,Mount Pleasant,Vancouver ,49.2710371,-123.1093788,Entire home/apt,169,30,1,9/1/2023,0.29,1,1,0,Unlicense,null,173,30,183
860211295596326383,Home , 2 bedrooms , 2 beds , 1.5 baths,480666813,Parker,,Hastings-Sunrise,Vancouver ,49.27684892,-123.0310225,Entire home/apt,150,1,3,10/4/2023,0.57,2,3,5,License,N,52,1,1125
860914479986534166,Rental unit , 1 bedroom , 1 bed , 1 bath,58594568,Dennis,,Downtown,Vancouver ,49.27944969,-123.1095371,Entire home/apt,185,31,0,null,0,1,0,0,Unlicense,null,1,31,365
860960308163529440,Rental unit , 2 bedrooms , 2 beds , 2 baths,213422034,Cong,,Downtown,Vancouver ,49.27744361,-123.1306698,Entire home/apt,172,4,17,11/13/2023,2.21,5,17,4.82,License,N,103,4.194174757,365
860994398802023844,Rental unit , 1 bedroom , 1 bed , 1 bath,77050163,Yaqi,,Downtown,Vancouver ,49.2777627,-123.1293763,Entire home/apt,185,1,2,7/21/2023,0.3,1,2,0,Exempt,null,365,1,365
861115573438721856,Guest suite , 2 bedrooms , 2 beds , 1 bath,508287878,Katie,,Arbutus Ridge,Vancouver ,49.25110514,-123.1686929,Entire home/apt,0,1,48,8/27/2023,5.88,1,48,4.83,License,N,365,1,1125
861167054824450238,Rental unit , 1 bedroom , 1 bed , 1 bath,496639208,Andy,,Downtown,Vancouver ,49.27597775,-123.1156898,Entire home/apt,160,30,2,9/10/2023,0.48,1,2,0,Unlicense,null,294,30,365
861490712440779875,Home , 1 bedroom , 1 bed , 1 shared bath,388321759,Angie,,Oakridge,Vancouver ,49.2276958,-123.1325916,Private room,80,1,35,9/3/2023,4.32,4,35,4.71,License,N,21,1,28
861533757177886812,Rental unit , 2 bedrooms , 2 beds , 1.5 baths,238308886,Terry,,West End,Vancouver ,49.27784267,-123.1367604,Entire home/apt,185,30,2,8/2/2023,0.36,37,2,0,Unlicense,null,98,30,365
861547458529772619,Home , 3 bedrooms , 2 beds , 2.5 baths,508376033,Enrique,,Grandview-Woodland,Vancouver ,49.2739803,-123.0650028,Entire home/apt,400,2,1,9/4/2023,0.29,1,1,0,License,null,96,2,1125
861672600258352118,Home , 2 bedrooms , 2 beds , 1 bath,187350566,Helen,,Grandview-Woodland,Vancouver ,49.26314243,-123.0763284,Entire home/apt,257,1,15,8/29/2023,2.24,1,15,4.87,License,N,365,1,365
861778263366195328,Rental unit , 2 bedrooms , 2 beds , 2 baths,139087804,Samira,,Downtown,Vancouver ,49.29029,-123.1276,Entire home/apt,125,30,0,null,0,1,0,0,Unlicense,null,1,30,365
861805371166454576,Home , 2 bedrooms , 3 beds , 1 bath,504246804,Rose,,Shaughnessy,Vancouver ,49.24101197,-123.1292981,Entire home/apt,214,2,3,10/12/2023,1.07,5,3,5,Exempt,N,174,2,365
862505093581293956,Home , 1 bedroom , 2 beds , 1 bath,250206436,Yu Juan,,Sunset,Vancouver ,49.21386234,-123.1041817,Entire home/apt,54,1,49,11/28/2023,6.56,3,49,4.67,License,N,18,1,1125
862538702137365818,Home , 1 bedroom , 1 bed , 1 bath,30771466,Brandon,,Grandview-Woodland,Vancouver ,49.26832838,-123.0611933,Entire home/apt,156,1,24,12/9/2023,3.46,1,24,4.88,License,N,216,1.518518519,180
862561846504185351,Rental unit , 1 bedroom , 2 beds , 2 baths,22655702,Corey,,Downtown Eastside,Vancouver ,49.2823325,-123.0851536,Entire home/apt,112,4,24,10/29/2023,3.23,1,24,4.92,License,N,312,4,60
862891756653598744,Loft , 1 bedroom , 1 bed , 1 bath,105978579,Simon,,Downtown Eastside,Vancouver ,49.2807165,-123.1090183,Entire home/apt,80,30,2,7/4/2023,0.3,2,2,0,Unlicense,null,305,30,60
862999629302493960,Home , 3 bedrooms , 3 beds , 2.5 baths,174501856,Ingrid,,Downtown,Vancouver ,49.27178567,-123.1223993,Entire home/apt,245,180,0,null,0,1,0,0,Unlicense,null,1,180,1125
863078714556632399,Condo , 3 bedrooms , 4 beds , 3 baths,1721044,Carolyn & L,,Downtown,Vancouver ,49.27998,-123.10775,Entire home/apt,550,2,6,8/13/2023,1.29,2,6,4.33,License,N,334,2,1125
863186953643547454,Home , 2 bedrooms , 3 beds , 1 bath,39397410,Dan,,Riley Park,Vancouver ,49.25507576,-123.1082387,Entire home/apt,184,2,30,12/3/2023,3.72,3,30,4.6,License,N,197,2,1125
863327914143322232,Home , 3 bedrooms , 4 beds , 2 baths,140985184,Anita,,Hastings-Sunrise,Vancouver ,49.27993348,-123.0354541,Entire home/apt,221,2,1,11/25/2023,1,1,1,0,License,Y,196,2,1125
863727201027922160,Home , 1 bedroom , 1 bed , 1 shared bath,58897540,Kevin,,Victoria-Fraserview,Vancouver ,49.2186232,-123.0766947,Private room,40,30,1,9/23/2023,0.37,8,1,0,Unlicense,null,47,30,365
863756153740500750,Home , 1 bedroom , 1 bed , 1 private bath,22603103,Ilya/ Lena,,Grandview-Woodland,Vancouver ,49.26944118,-123.0652847,Private room,100,1,40,10/23/2023,4.96,6,40,4.8,License,N,275,1,1125
863802983449976107,Guesthouse , 2 bedrooms , 2 beds , 2 baths,43012325,Guifang,,Marpole,Vancouver ,49.21382251,-123.117026,Entire home/apt,80,30,11,7/7/2023,1.42,1,11,3.91,License,N,78,30,180
863847371314209517,Rental unit , 2 bedrooms , 2 beds , 2 baths,30899,Rami,,West End,Vancouver ,49.27665,-123.13348,Entire home/apt,172,90,0,null,0,13,0,0,License,null,110,90,365
863881455187144685,Home , 1 bedroom , 1 bed , 1 shared bath,365518836,Nhu,,Renfrew-Collingwood,Vancouver ,49.24600283,-123.0330713,Private room,65,30,1,12/2/2023,1,2,1,0,Unlicense,null,295,30,365
864542577578482367,Rental unit , 3 bedrooms , 3 beds , 2.5 baths,456189444,Leo,,Sunset,Vancouver ,49.22597308,-123.0773462,Entire home/apt,310,2,2,9/1/2023,0.3,4,2,0,License,null,298,2,365
864673061909039335,Condo , 3 bedrooms , 3 beds , 2 baths,243167439,Lily And Sam,,Downtown,Vancouver ,49.27767917,-123.1241955,Entire home/apt,562,30,1,11/21/2023,1,5,1,0,License,null,105,30,1125
864677679652642751,Guesthouse , 3 bedrooms , 3 beds , 2 baths,39205166,Sean,,Dunbar Southlands,Vancouver ,49.25343588,-123.1759188,Entire home/apt,0,3,26,10/9/2023,3.77,1,26,4.96,License,N,365,3,30
864784539517990661,Home , 2 bedrooms , 1 bed , 1 shared bath,322530184,Tommy,,Dunbar Southlands,Vancouver ,49.248687,-123.178282,Private room,79,1,0,null,0,1,0,0,License,null,234,1,365
864817870665278998,Home , 1 bedroom , 1 bed , 1 private bath,213394226,Matthew,,Renfrew-Collingwood,Vancouver ,49.25479,-123.03117,Private room,60,30,3,10/26/2023,0.5,4,3,5,Unlicense,N,49,180,1125
