id,no_of_bed,no_of_bath,neighbourhoodID,room_type_ID,price,number_of_reviews,rating,licenseID,calendar.count_demand
3859085,1,1,13,2,104,467,4.98,2,86
3888379,2,1,6,1,155,74,4.65,2,325
3902807,2,2,11,1,395,0,0,4,221
3971726,2,1,2,1,98,212,4.92,2,365
3994011,1,1,22,1,80,12,4.83,4,328
4054111,3,2,13,1,321,251,4.96,2,145
4075378,1,1,2,1,120,106,4.65,4,1
4104870,3,1,6,1,138,109,4.72,2,5
4118193,2,1,2,1,542,0,0,1,4
4120301,2,2,2,1,169,18,4.39,2,1
4137579,1,1,6,1,229,121,4.84,2,9
4225233,1,1,22,1,123,63,4.84,4,19
4244379,2,1,3,1,148,450,4.87,2,108
4256725,1,1,7,1,132,70,4.91,2,289
4395511,1,1,15,2,55,306,4.82,2,95
4418911,1,1,11,1,140,31,4.9,2,365
4145030,1,1,10,2,153,35,4.57,2,0
4465068,3,2.5,11,1,675,28,4.89,2,277
4465400,4,3.5,11,1,543,42,4.98,2,359
4493377,2,1,11,1,155,117,4.85,1,204
4495075,1,1,22,1,115,0,0,4,295
4318059,2,1,2,1,200,21,4.95,4,0
4568364,4,1,23,1,156,314,4.75,2,65
4588807,1,1,13,2,225,73,4.88,4,1
4624838,1,1,13,2,79,237,4.75,2,294
4630113,1,1,15,1,100,15,5,4,358
4637856,1,2,6,1,110,9,5,4,221
4659229,1,1,16,1,125,187,4.75,2,115
4679955,3,1.5,11,1,250,82,4.88,4,232
4699429,1,1,15,2,65,5,4.8,4,315
4701041,1,1,15,2,65,2,0,4,231
4701190,2,1,15,1,150,12,4.83,4,230
4747128,2,1.5,2,1,363,171,4.96,2,184
4787924,1,1,8,1,85,156,4.91,2,202
4849995,2,2,2,1,250,18,5,4,184
4856515,1,1,16,2,100,67,4.61,2,111
4888430,1,1,13,1,102,516,4.92,2,223
4902682,3,2,6,1,425,20,4.85,2,316
4924996,4,1.5,6,1,185,20,4.65,2,16
4942126,1,1,5,2,95,143,4.94,2,209
4995055,1,1,16,1,81,58,4.83,2,199
5005722,3,1,23,1,411,134,4.9,4,114
5104748,1,1,17,2,75,27,4.93,2,1
5104965,1,1,17,1,88,40,4.83,2,14
5154272,1,1,2,1,200,17,4.94,4,306
5154591,2,1,5,1,307,6,5,2,350
5315811,1,1,5,2,85,10,4.7,4,111
5347437,2,1,2,1,157,301,4.43,2,38
5415806,2,1,2,1,125,6,4.17,2,186
5423637,2,1,22,1,165,72,4.88,4,48
5439203,1,1,2,1,118,166,4.91,1,114
5471844,1,1,8,1,119,948,4.92,2,214
5480529,3,2,22,1,225,37,4.97,2,114
5490474,2,1,11,1,149,92,4.75,2,196
5571829,1,1,2,1,129,38,5,2,223
5602997,2,1,6,1,213,293,4.95,2,207
5631903,2,1,18,1,207,240,4.83,2,190
5638429,2,1,2,1,114,63,4.87,4,1
5642121,1,1,6,1,135,416,4.85,2,336
5649604,2,2,6,1,249,83,4.83,2,311
5670706,1,1,22,1,139,28,4.93,4,228
5747556,2,1,6,1,177,116,4.75,2,9
5814747,1,1,15,1,108,341,4.9,2,320
5877217,1,1,22,1,120,26,4.88,4,106
5881530,2,1,6,1,144,398,4.93,2,210
5919984,1,1,2,1,175,3,5,4,201
5961772,1,1,2,1,250,0,0,4,365
6018284,4,1.5,6,1,764,19,4.68,2,203
6032973,4,4,23,1,1118,38,5,2,214
6128764,2,2,2,1,299,135,4.91,2,62
6134895,4,2.5,13,1,200,192,4.82,2,139
6226872,1,1,7,1,52,80,4.78,2,355
6270968,2,2,2,1,350,37,4.84,4,113
6324453,4,2.5,13,1,607,79,4.89,2,42
6416204,1,1,22,1,156,171,4.94,2,1
6416686,1,1,15,2,150,17,4.47,4,275
6421331,2,1.5,7,1,250,63,4.95,1,6
6425616,2,2,3,1,325,277,4.87,2,282
6426269,1,1,5,1,214,4,4.5,2,59
6453318,1,1,3,1,149,7,5,4,261
6347338,1,1,16,1,140,87,4.91,4,0
6494884,3,2.5,6,1,475,59,4.95,2,51
6602481,1,1,2,1,141,125,4.73,2,195
6611269,1,1,15,1,68,62,4.84,4,312
6645469,1,1,11,1,146,345,4.95,2,349
6660457,1,1,22,2,63,258,4.84,4,296
6692629,1,1,11,2,120,53,4.98,2,325
6732143,1,1,16,1,126,248,4.86,2,233
6808688,1,1,2,2,61,344,4.79,4,303
6812180,2,1,3,1,128,325,4.91,2,215
6863617,1,1,3,2,131,154,4.92,2,10
6867548,2,1.5,16,1,107,127,4.92,2,66
6897283,2,1.5,4,1,120,19,4.74,2,276
6939529,1,1.5,9,1,134,160,4.76,2,20
6975013,1,1,13,1,191,44,4.8,2,337
6990532,1,1,22,1,407,16,4.25,4,276
6993905,1,1,22,2,102,455,4.89,2,321
7022315,4,1.5,20,1,200,21,4.76,2,341
6836507,2,2,2,1,250,0,0,4,0
7034128,2,1,7,1,220,67,4.84,4,79
7054627,1,1,21,1,100,78,4.87,2,73
7071924,2,1,2,1,147,411,4.33,2,317
7112627,2,2,5,1,283,10,5,2,211
7148892,1,1,18,1,129,47,4.79,2,305
7163201,1,1,2,2,125,147,4.87,2,193
7183413,1,1,6,2,105,183,4.98,2,336
7248669,2,1,7,1,189,80,4.96,2,2
7327653,1,1,2,1,250,3,5,4,277
7365327,4,1,11,1,400,66,4.88,2,6
7432239,3,1,23,1,213,64,4.97,4,61
7436700,2,2,5,1,222,4,5,2,364
7438069,6,2.5,16,1,360,176,4.84,2,265
7478857,1,1,6,1,98,230,4.79,2,152
7481879,2,1,11,2,118,85,4.56,2,246
7494656,1,1,23,2,128,110,4.72,2,185
7518690,1,1,18,2,130,66,4.88,2,341
7547752,1,1,15,1,161,66,4.91,2,18
7548858,1,1,13,1,204,147,4.89,2,192
7583961,1,1,2,2,71,101,4.69,4,300
7639521,1,1,3,1,130,780,4.94,2,30
7679929,1,1,13,1,92,148,4.86,2,85
7701543,1,1,2,2,206,216,4.79,2,178
7769633,1,1,16,2,80,7,4.71,2,285
7788230,1,1,12,2,42,57,4.67,2,214
7804061,1,1,3,1,196,214,4.88,2,355
7812180,1,1,13,1,89,96,4.67,2,350
7822189,1,1,15,2,40,59,4.83,4,265
7838721,1,1,3,1,210,133,4.67,2,302
7858563,1,1,12,2,41,66,4.66,4,125
7858932,1,1,12,2,53,60,4.82,4,166
7860202,1,1,12,2,56,54,4.63,4,105
7860338,1,1,12,2,43,37,4.76,4,172
7860380,3,1,12,1,152,101,4.82,4,364
7917307,2,1,2,1,202,41,4.88,2,204
7917938,2,2,2,1,195,3,5,2,2
7921570,2,2,2,1,229,60,4.7,2,73
7936342,4,2,3,1,160,34,4.94,2,60
7989551,2,1,2,1,150,34,4.97,4,52
7997635,1,1,8,2,85,212,4.67,2,170
8047959,1,1,19,2,176,128,4.9,4,276
8107160,4,1.5,11,1,398,6,4.5,2,354
8171107,2,2,11,1,179,34,4.91,2,201
8173136,3,2.5,22,1,275,1,0,2,347
8210879,3,2.5,11,1,230,1,0,2,231
8252104,1,1,6,1,120,336,4.99,2,260
8254293,1,1,2,1,180,61,4.8,4,365
8255521,2,2.5,22,1,300,0,0,4,7
8356680,1,1,19,1,126,465,4.91,2,122
8371276,2,1,2,1,195,99,4.89,2,308
8429321,1,1,5,1,170,123,4.97,2,298
8434517,1,1,13,1,135,99,4.8,2,70
8118622,2,2,2,1,800,19,4.26,2,0
8541289,3,1,2,1,125,116,4.49,2,242
8648704,1,1,3,2,95,276,4.79,2,276
8672239,6,1,20,1,120,168,4.91,4,255
8685139,1,1,8,2,80,146,4.8,2,293
8721425,1,1,16,2,65,124,4.78,2,190
8736944,4,2,11,1,272,24,4.83,4,263
8743634,2,1,13,1,150,320,4.81,2,191
8780405,2,1,13,1,75,40,4.98,4,364
8802669,2,1.5,15,2,90,117,4.97,2,197
8848127,1,1,22,2,195,62,4.9,4,276
8900687,1,1,3,1,92,14,4.79,4,254
8941830,1,1,22,1,144,183,4.5,4,313
9016662,1,1,7,2,68,0,0,4,6
9046022,2,1,2,1,155,42,4.95,4,241
8656743,1,1,11,1,292,33,4.64,4,0
9237061,1,1,11,1,93,24,4.25,4,204
9315705,1,1.5,11,1,220,9,5,2,190
9450480,1,0,11,1,120,10,4.6,1,5
9515819,2,1,6,1,101,105,4.78,2,247
9515931,1,1,7,1,190,83,4.88,2,359
9562576,1,1,2,1,275,47,4.94,4,17
9592923,2,1,13,1,199,101,4.83,2,185
9604978,1,1,7,1,116,27,4.93,2,291
9615787,2,1,2,1,130,207,4.71,4,283
9684392,1,1,11,1,98,10,5,4,321
9867831,2,2.5,11,1,285,16,4.94,2,102
9901027,1,1,3,2,137,179,4.8,1,204
9996147,2,1,22,1,200,17,4.82,2,294
10151493,1,2,2,1,200,30,4.97,2,335
10231101,1,1,11,1,77,42,4.6,4,143
10523480,1,1,22,1,129,269,4.87,2,313
10598712,3,2,22,1,254,66,4.95,4,101
10619943,3,1.5,6,1,174,172,4.95,2,310
10811008,1,1,2,1,151,55,4.82,1,365
10924322,2,1,3,1,170,175,4.87,2,348
10992078,3,1,4,1,119,170,4.73,2,109
11125104,2,1,12,1,99,7,4.57,2,190
11242550,1,1,15,2,34,50,4.82,4,275
11261229,6,2,6,1,238,132,4.8,2,44
11361362,4,1,8,1,375,24,4.71,2,280
11393844,3,1.5,3,1,276,141,4.95,2,224
11401593,2,1,11,1,299,183,4.99,2,14
11512985,2,1.5,16,1,180,157,4.92,2,75
11548616,1,1,7,1,104,207,4.92,2,180
11549700,1,2,8,2,60,12,5,4,205
11550687,1,2,8,2,46,9,4.78,4,259
11588321,3,1,2,1,350,24,4.92,1,316
11638140,3,2,11,1,600,154,4.97,2,93
11677580,1,1,2,1,165,153,4.93,2,313
11102652,2,1,13,1,150,31,4.97,4,0
11688698,1,2,8,2,45,9,4.78,4,331
11742643,1,1,6,1,195,0,0,4,20
11851708,1,1,16,1,165,173,4.82,2,362
11906047,3,1,8,1,210,173,4.89,2,104
11922799,1,1,2,1,100,44,4.8,2,92
11941603,2,1,11,2,76,191,4.95,2,300
11944311,4,1,15,1,145,20,4.8,2,307
11950920,1,1,23,1,135,223,4.91,2,120
12020603,1,1,8,2,71,18,4.94,2,42
12156919,2,2,6,1,249,16,4.94,4,13
12209150,1,1,2,1,151,59,4.95,1,365
12210228,1,1,2,1,150,63,4.79,1,365
12211949,1,1,2,1,171,97,4.87,2,358
12213507,2,1,22,1,185,41,4.9,2,67
12242607,1,1,2,1,253,13,4.85,2,111
12245225,1,1,11,1,110,52,4.77,4,324
12274044,2,2.5,2,1,350,5,4.6,4,1
12285968,3,1,8,1,141,110,4.79,2,111
12294424,2,1,13,1,275,22,4.95,2,26
12304783,3,2,7,1,140,210,4.94,2,299
12309772,3,2,2,1,180,215,4.65,2,283
12313584,2,2,2,1,300,0,0,4,186
12336968,5,2,8,1,3500,62,4.81,2,103
12391067,1,1,2,1,150,37,5,4,168
12421711,2,1,8,1,650,0,0,2,354
12423800,4,1,4,1,425,99,4.86,2,248
12472482,1,1,1,2,65,93,4.8,2,263
12490989,2,1,11,1,240,14,4.71,2,357
12500432,1,1,12,2,109,71,4.71,2,364
12522460,1,1,5,2,118,80,4.94,2,296
